Disease,Description
Reacción a la droga,Una reacción adversa a medicamentos (RAM) es una lesión causada por la toma de medicamentos. Las reacciones adversas pueden ocurrir después de una dosis única o la administración prolongada de un medicamento o como resultado de la combinación de dos o más medicamentos.
Malaria,Enfermedad infecciosa causada por parásitos protozoarios de la familia Plasmodium que puede transmitirse por la picadura del mosquito Anopheles o por una aguja o transfusión contaminada. La malaria falciparum es el tipo más mortal.
Alergia,"Una alergia es una respuesta del sistema inmunológico a una sustancia extraña que normalmente no es dañina para el cuerpo. Pueden incluir ciertos alimentos, polen o caspa de mascotas. El trabajo de su sistema inmunológico es mantenerlo saludable combatiendo los patógenos dañinos."
hipotiroidismo,"El hipotiroidismo, también llamado tiroides hipoactiva o tiroides baja, es un trastorno del sistema endocrino en el que la glándula tiroides no produce suficiente hormona tiroidea."
Soriasis,"La psoriasis es un trastorno cutáneo común que forma manchas gruesas, rojas y con bultos cubiertas de escamas plateadas. Pueden aparecer en cualquier lugar, pero la mayoría aparecen en el cuero cabelludo, los codos, las rodillas y la zona lumbar. La psoriasis no se puede transmitir de persona a persona. A veces ocurre en miembros de la misma familia."
Reflujo gastroesofágico,"La enfermedad por reflujo gastroesofágico, o ERGE, es un trastorno digestivo que afecta el esfínter esofágico inferior (EEI), el anillo de músculo entre el esófago y el estómago. Muchas personas, incluidas las mujeres embarazadas, sufren acidez de estómago o indigestión ácida causada por ERGE."
colestasis crónica,"Las enfermedades colestásicas crónicas, ya sea que ocurran en la infancia, la niñez o la edad adulta, se caracterizan por un transporte defectuoso de ácidos biliares desde el hígado al intestino, que en la mayoría de los casos es causado por un daño primario al epitelio biliar."
hepatitis A,La hepatitis A es una infección hepática altamente contagiosa causada por el virus de la hepatitis A. El virus es uno de varios tipos de virus de la hepatitis que causan inflamación y afectan la capacidad de funcionamiento del hígado.
Osteoartritis,La osteoartritis es la forma más común de artritis y afecta a millones de personas en todo el mundo. Ocurre cuando el cartílago protector que amortigua los extremos de los huesos se desgasta con el tiempo.
(vértigo) Vértigo posicional paroxístico,El vértigo posicional paroxístico benigno (VPPB) es una de las causas más comunes de vértigo: la sensación repentina de que estás dando vueltas o que el interior de tu cabeza está dando vueltas. El vértigo posicional paroxístico benigno causa episodios breves de mareos leves a intensos.
