Symptom,weight
picor,1
erupción cutánea,3
erupciones cutáneas ganglionares,4
estornudos continuos,4
temblando,5
escalofríos,3
dolor en las articulaciones,3
dolor de estomago,5
acidez,3
ulceras en la lengua,4
pérdida muscular,3
vómitos,5
micción ardiente,6
manchado de orina,6
fatiga,4
aumento de pesos,3
ansiedad,4
manos y pies frios,5
cambios de humor,3
perdida de peso,3
inquietud,5
letargo,2
parches en la garganta,6
nivel de azucar irregular,5
tos,4
fiebre alta,7
ojos hundidos,3
dificultad para respirar,4
transpiración,3
deshidratación,4
indigestión,5
dolor de cabeza,3
piel amarillenta,3
orina oscura,4
náuseas,5
pérdida de apetito,4
dolor detrás de los ojos,4
dolor de espalda,3
estreñimiento,4
dolor abdominal,4
diarrea,6
fiebre leve,5
orina amarilla,4
coloracion amarillenta de los ojos,4
insuficiencia hepática aguda,6
sobrecarga de fluidos,6
Inflamación del estómago,7
ganglios linfáticos inflamados,6
malestar,6
visión borrosa y distorsionada,5
flema,5
irritación de garganta,4
rojecimiento de los ojos,5
presion en los senos,4
rinorrea,5
congestión,5
dolor en el pecho,7
debilidad en las extremidades,7
ritmo cardíaco rápido,5
dolor durante las deposiciones,5
dolor en la región anal,6
heces con sangre,5
irritación en el año,6
dolor de cuello,5
mareo,4
calambre,4
moretones,4
obesidad,4
piernas hinchadas,5
vasos sanguíneos inflamados,5
cara y ojos hinchados,5
tiroides agrandada,6
uñas quebradizas,5
extremidades hinchadas,5
hambre excesiva,4
contactos extramatrimoniales,5
labios secos y hormiguentes,4
habla arrastrada,4
dolor de rodilla,3
dolor en la articulacion de la cadera,2
debilidad muscular,2
rigidez de nuca,4
articulaciones hinchadas,5
rigidez del movimiento,5
movimientos giratorios,6
pérdida del equilibrio,4
inestabilidad,4
debilidad de un lado del cuerpo,4
pérdida del olfato,3
malestar en la vejiga,4
mal olor a orina,5
sensación de orina continua,6
paso de gases,5
picazón interna,4
mirada tóxica (typhos),5
depresión depresión,3
irritabilidad,2
dolores musculares,2
sensor alterado,2
manchas rojas sobre el cuerpo,3
dolor de vientre,4
menstruacion anormal,6
parches discrómicos,6
ojos llorosos,4
apetito incrementado,5
poliuria,4
historia familiar,5
esputo mucoide,4
esputo oxidado,4
falta de concentración,3
alteraciones visuales,3
recibir transfusión de sangre,5
recibir inyecciones no esterilizadas,2
coma,7
sangrado estomacal,6
distensión del abdomen,4
historia del consumo de alcohol,5
sangre en el esputo,5
venas prominentes en la pantorrilla,6
palpitaciones,4
caminar doloroso,2
granos llenos de pus,2
puntos negros,2
escurriendo,2
descamación de la piel,3
plata como polvo,2
pequeñas abolladuras en las uñas,2
uñas inflamatorias,2
ampolla,4
llama roja alrededor de la nariz,2
corteza amarilla rezuma,3
